Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
2023-05-09,93,93.769997,92.589996,92.790001,32936400,91.422261,87.5726146,101.8033336,116.0340526,Decreasing
2023-05-10,93.330002,93.57,92.110001,93.419998,33686800,92.042972,86.74692592,100.9616668,115.1764077,Increasing
2023-05-11,93.480003,93.57,92.459999,92.510002,28719100,91.146389,86.28857673,100.0176668,113.7467569,Decreasing
2023-05-12,92.720001,92.779999,89.470001,90.339996,76314700,89.00837,85.83456763,98.96383345,112.0930993,Decreasing
2023-05-13,90,91.669998,90,90.519997,44392800,89.185717,85.52819161,97.96899997,110.4098083,Increasing
2023-05-16,92.389999,94.389999,91.650002,93.879997,61259800,92.49619,85.50885848,97.24483323,108.980808,Increasing
2023-05-17,94.550003,94.699997,93.010002,93.489998,46916900,92.111939,85.66076061,96.5791664,107.4975722,Decreasing
2023-05-18,94.160004,95.209999,93.889999,94.559998,42062400,93.166167,86.13634549,95.95216648,105.7679875,Increasing
2023-05-19,94.639999,94.639999,93.57,94.199997,30442100,92.811473,86.70270139,95.35199978,104.0012982,Decreasing
2023-05-20,94.639999,95.43,94.519997,95.220001,32026000,93.816442,87.56289378,94.82516632,102.0874388,Increasing
2023-05-23,95.870003,97.190002,95.669998,96.43,38018600,95.008606,88.7823949,94.39266622,100.0029375,Increasing
2023-05-24,97.220001,98.089996,96.839996,97.900002,35140200,96.456939,90.50381694,94.04716603,97.59051513,Increasing
2023-05-25,98.669998,99.739998,98.110001,99.620003,38168800,98.151587,90.19869119,94.13483275,98.07097431,Increasing
2023-05-26,99.68,100.730003,98.639999,100.410004,56331200,98.929943,89.7053863,94.34849953,98.99161276,Increasing
2023-05-27,99.440002,100.470001,99.25,100.349998,36229500,98.870823,89.42296245,94.66683283,99.91070322,Increasing
2023-05-31,99.599998,100.400002,98.82,99.860001,42307200,98.388047,89.34215305,94.98283283,100.6235126,Increasing
2023-06-01,99.019997,99.540001,98.330002,98.459999,29173300,97.008682,89.3012312,95.1783329,101.0554346,Decreasing
2023-06-02,97.599998,97.839996,96.629997,97.720001,40191600,96.279592,89.36741119,95.31633273,101.2652543,Increasing
2023-06-03,97.790001,98.269997,97.449997,97.919998,28062900,96.476641,89.56821435,95.54383263,101.5194509,Increasing
2023-06-06,97.989998,101.889999,97.550003,98.629997,23292500,97.176174,89.83474445,95.87799935,101.9212542,Increasing
2023-06-07,99.25,99.870003,98.959999,99.029999,22409500,97.57028,90.11889761,96.1898328,102.260768,Decreasing
2023-06-08,99.019997,99.559998,98.68,98.940002,20848100,97.48161,90.47885207,96.49116615,102.5034802,Decreasing
2023-06-09,98.5,99.989998,98.459999,99.650002,26601400,98.181144,90.92479459,96.81716612,102.7095376,Increasing
2023-06-10,98.529999,99.349998,98.480003,98.830002,31712900,97.373231,91.94166329,97.2183329,102.4950025,Increasing
2023-06-13,98.690002,99.120003,97.099998,97.339996,38020500,95.905188,93.21597105,97.5744996,101.9330281,Decreasing
2023-06-14,97.32,98.480003,96.75,97.459999,31931900,96.023422,93.89211502,97.787333,101.682551,Increasing
2023-06-15,97.82,98.410004,97.029999,97.139999,29445200,95.708139,94.54837988,97.97699975,101.4056196,Decreasing
2023-06-16,96.449997,97.75,96.07,97.550003,31326800,96.1121,95.02478017,98.10549987,101.1862196,Increasing
2023-06-17,96.620003,96.650002,95.300003,95.330002,61008200,93.924821,95.46372275,98.18666672,100.9096107,Decreasing
2023-06-20,96,96.57,95.029999,95.099998,34411900,93.698208,95.59963477,98.2121667,100.8246986,Decreasing
2023-06-21,94.940002,96.349998,94.68,95.910004,35546400,94.496274,95.43432872,98.17300007,100.9116714,Increasing
